"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5"
"USC00200228","ANN ARBOR SE, MI US","2018-11-03",,,,,"0.00","0.0","0.0",,"48","37","38",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-04",,,,,"0.00","0.0","0.0",,"47","31","37",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-05",,,,,"0.24","0.0","0.0",,"53","37","48",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-06",,,,,"0.26","0.0","0.0",,"54","44","54",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-07",,,,,"0.05","0.0","0.0",,"54","40","40",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-08",,,,,"0.00","0.0","0.0",,"40","36","36",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-09",,,,,"0.10","0.8","1.0",,"42","30","32",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-10",,,,,"0.14","1.4","0.0",,"36","20","20",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-11",,,,,"0.00","0.0","0.0",,"35","20","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-12",,,,,"0.00","0.0","0.0",,"40","21","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-13",,,,,"0.15","2.2","2.0",,"42","26","28",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-14",,,,,"0.00","0.0","1.0",,"33","12","13",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-15",,,,,"0.00","0.0","0.0",,"32","13","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-16",,,,,"0.31","2.1","2.0",,"34","30","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-17",,,,,"0.02","0.4","1.0",,"36","29","32",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-18",,,,,"0.05","0.7","1.0",,"38","30","30",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-19",,,,,"0.08","1.2","0.0",,"36","20","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-20",,,,,"0.07","1.3","1.0",,"38","26","26",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-21",,,,,"0.00","0.0","0.0",,"34","25","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-22",,,,,"0.00","0.0","0.0",,"36","20","21",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-23",,,,,"0.00","0.0","0.0",,"29","21","21",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-24",,,,,"0.31","0.0","0.0",,"47","21","42",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-25",,,,,"0.01","0.0","0.0",,"47","41","41",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-26",,,,,"0.41","0.4","0.0",,"45","33","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-27",,,,,"0.11","0.7","0.0",,"34","26","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-28",,,,,"0.00","0.0","0.0",,"30","25","25",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-29",,,,,"0.00","0.0","0.0",,"28","23","23",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-11-30",,,,,"0.04","0.4","0.0",,"31","23","31",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-01",,,,,"0.00","0.0","0.0",,"43","26","33",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-02",,,,,"0.34","0.0","0.0",,"48","33","48",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-03",,,,,"0.09","0.0","0.0",,"57","34","34",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-04",,,,,"0.02","0.2","0.0",,"35","27","27",,,,,,
"USC00200228","ANN ARBOR SE, MI US","2018-12-05",,,,,"0.00","0.0","0.0",,"34","20","20",,,,,,
