"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-03",,,,,,,,,"0.0","T,,7,0730","0.0",",,7,","0.0",",,7,",,,"8.9",",,7","2.8",",,7","3.3",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-04",,,,,,,,,"0.0",",,7,0730","0.0",",,7,","0.0",",,7,",,,"8.3",",,7","-0.6",",,7","2.8",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-05",,,,,,,,,"6.1",",,7,0730","0.0",",,7,","0.0",",,7,",,,"11.7",",,7","2.8",",,7","8.9",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,"    1",",,7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-06",,,,,,,,,"6.6",",,7,0730","0.0",",,7,","0.0",",,7,",,,"12.2",",,7","6.7",",,7","12.2",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,"    1",",,7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-07",,,,,,,,,"1.3",",,7,0730","0.0",",,7,","0.0",",,7,",,,"12.2",",,7","4.4",",,7","4.4",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-08",,,,,,,,,"0.0","T,,7,0730","0.0",",,7,","0.0",",,7,",,,"4.4",",,7","2.2",",,7","2.2",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-09",,,,,,,,,"2.5",",,7,0730","20.0",",,7,","25.0",",,7,",,,"5.6",",,7","-1.1",",,7","0.0",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,"    1",",,7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-10",,,,,,,,,"3.6",",,7,0730","36.0",",,7,","0.0","T,,7,",,,"2.2",",,7","-6.7",",,7","-6.7",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-11",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0",",,7,",,,"1.7",",,7","-6.7",",,7","-2.8",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-12",,,,,,,,,"0.0",",,7,0730","0.0",",,7,","0.0",",,7,",,,"4.4",",,7","-6.1",",,7","-3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-13",,,,,,,,,"3.8",",,7,0730","56.0",",,7,","51.0",",,7,",,,"5.6",",,7","-3.3",",,7","-2.2",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-14",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","25.0",",,7,",,,"0.6",",,7","-11.1",",,7","-10.6",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-15",,,,,,,,,"0.0",",,7,0730","0.0",",,7,","0.0","T,,7,",,,"0.0",",,7","-10.6",",,7","-0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,"    1",",,7",,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-16",,,,,,,,,"7.9",",,7,0730","53.0",",,7,","51.0",",,7,",,,"1.1",",,7","-1.1",",,7","-1.1",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-17",,,,,,,,,"0.5",",,7,0730","10.0",",,7,","25.0",",,7,",,,"2.2",",,7","-1.7",",,7","0.0",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-18",,,,,,,,,"1.3",",,7,0730","18.0",",,7,","25.0",",,7,",,,"3.3",",,7","-1.1",",,7","-1.1",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-19",,,,,,,,,"2.0",",,7,0730","30.0",",,7,","0.0","T,,7,",,,"2.2",",,7","-6.7",",,7","-3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-20",,,,,,,,,"1.8",",,7,0730","33.0",",,7,","25.0",",,7,",,,"3.3",",,7","-3.3",",,7","-3.3",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-21",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0","T,,7,",,,"1.1",",,7","-3.9",",,7","0.6",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-22",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0","T,,7,",,,"2.2",",,7","-6.7",",,7","-6.1",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
